Restaurant,Cuisine,Neighborhood,Dollar,Address,City,State
Rasika West End,Indian,West End,$$$,1190 New Hampshire Ave. NW,Washington,DC
Ray's the Steaks,Steakhouse,Courthouse,$$$,2300 Wilson Blvd.,Courthouse,VA
Ray's to the Third,Steakhouse,Courthouse,$$$,1650 Wilson Blvd.,Courthouse,VA
The Red Hen,American,Bloomingdale,$$$,1822 1st St. NE,Washington,DC
Restaurant Eve,American,Old Town Alexandria,$$$$,110 S Pitt St. ,Old Town Alexandria,VA
Restaurant at Patowmack Farm,American,Lovettsville,$$$$,42461 Lovettsville Rd.,Lovettsville,VA
Rice Paper,Vietnamese,Seven Corners,$,6775 Wilson Blvd.,Seven Corners,VA
Ripple,American,Cleveland Park,$$$,3417 Connecticut Ave. NW,Washington,DC
Ris,American,West End,$$$,2275 L St. NW,Washington,DC
Rogue 24,American,Mount Vernon Triangle,$$$$,922 N St. NW,Washington,DC
Rose's Luxury,American,Eastern Market,$$$,717 8th St. SE,Washington,DC
Ruan Thai,Thai,Wheaton,$$,11407 Amherst Ave.,Wheaton,MD
Rus Uz,Russian,Ballston,$$,1000 N. Randolph St.,Ballston,VA
Seasonal Pantry,American,Mount Vernon Triangle,$$$$,1314 1/2 9th St. NW,Washington,DC
1789,American,Georgetown,$$$$,1226 36th St. NW,Washington,DC
The Source,Asian Fusion,Penn Quarter,$$$$,575 Pennsylvania Ave N.W.,Washington,DC
Sushi Sono,Japanese,Columbia,$$$,10215 Wincopin Cir.,Columbia,MD
Sushi Taro,Japanese,Dupont Circle,$$$$,1503 17th St. NW,Washington,DC
Table,American,Mount Vernon Triangle,$$$,903 N St. NW,Washington,DC
Toki Underground,Japanese,H Street,$,1234 H St. NE,Washington,DC
2941,American,Falls Church,$$$$,2941 Fairview Park Dr.,Falls Church,VA
2 Amy's,Pizza ,Cathedral Heights,$$,3715 Macomb St. NW,Washington,DC
Vermillion,American,Old Town Alexandria,$$$$,1120 King St.,Old Town Alexandria,VA
Vidalia,Southern,Dupont Circle,$$$$,1990 M St. NW,Washington,DC
Vin 909 Winecafe,American,Annapolis,$$,909 Bay Ridge Ave.,Annapolis,MD
Westend Bistro,American,West End,$$$$,1190 22nd St. NW,Washington,DC
Woodberry Kitchen,American,Baltimore,$$$$,2010 Clipper Park Rd.,Baltimore,MD
Woodward Table,American,Downtown,$$$,1430 H St. NW,Washington,DC
Zaytinya,Greek,Penn Quarter,$$$,701 9th St. NW,Washington,DC
